subject_id,night,split,n_epochs,n_flagged,cache_path
SC4001,E0,test,2650,2580,/home/shamique/projects/sleep/data/cache/SC4001_nightE0.npz
SC4002,E0,train,2829,2424,/home/shamique/projects/sleep/data/cache/SC4002_nightE0.npz
SC4011,E0,train,2802,2705,/home/shamique/projects/sleep/data/cache/SC4011_nightE0.npz
SC4012,E0,train,2848,2637,/home/shamique/projects/sleep/data/cache/SC4012_nightE0.npz
SC4021,E0,test,2804,2730,/home/shamique/projects/sleep/data/cache/SC4021_nightE0.npz
SC4022,E0,train,2755,2643,/home/shamique/projects/sleep/data/cache/SC4022_nightE0.npz
SC4031,E0,train,2820,2707,/home/shamique/projects/sleep/data/cache/SC4031_nightE0.npz
SC4032,E0,train,2732,1444,/home/shamique/projects/sleep/data/cache/SC4032_nightE0.npz
SC4041,E0,train,2569,2401,/home/shamique/projects/sleep/data/cache/SC4041_nightE0.npz
SC4042,E0,test,2788,2687,/home/shamique/projects/sleep/data/cache/SC4042_nightE0.npz
SC4051,E0,test,2722,2588,/home/shamique/projects/sleep/data/cache/SC4051_nightE0.npz
SC4052,E0,train,2804,1980,/home/shamique/projects/sleep/data/cache/SC4052_nightE0.npz
SC4061,E0,val,2770,2549,/home/shamique/projects/sleep/data/cache/SC4061_nightE0.npz
SC4062,E0,train,2830,2748,/home/shamique/projects/sleep/data/cache/SC4062_nightE0.npz
SC4071,E0,train,2810,2635,/home/shamique/projects/sleep/data/cache/SC4071_nightE0.npz
SC4072,E0,val,2770,1639,/home/shamique/projects/sleep/data/cache/SC4072_nightE0.npz
SC4081,E0,train,2796,2698,/home/shamique/projects/sleep/data/cache/SC4081_nightE0.npz
SC4082,E0,train,462,459,/home/shamique/projects/sleep/data/cache/SC4082_nightE0.npz
SC4091,E0,val,2721,2426,/home/shamique/projects/sleep/data/cache/SC4091_nightE0.npz
SC4092,E0,train,2044,1805,/home/shamique/projects/sleep/data/cache/SC4092_nightE0.npz
SC4101,E0,train,1869,1673,/home/shamique/projects/sleep/data/cache/SC4101_nightE0.npz
SC4102,E0,train,2857,2404,/home/shamique/projects/sleep/data/cache/SC4102_nightE0.npz
SC4111,E0,val,864,852,/home/shamique/projects/sleep/data/cache/SC4111_nightE0.npz
SC4112,E0,train,2780,2338,/home/shamique/projects/sleep/data/cache/SC4112_nightE0.npz
SC4121,E0,train,2685,2467,/home/shamique/projects/sleep/data/cache/SC4121_nightE0.npz
SC4122,E0,train,2606,2520,/home/shamique/projects/sleep/data/cache/SC4122_nightE0.npz
SC4131,E0,val,1925,1637,/home/shamique/projects/sleep/data/cache/SC4131_nightE0.npz
SC4141,E0,train,2756,2270,/home/shamique/projects/sleep/data/cache/SC4141_nightE0.npz
SC4142,E0,train,648,225,/home/shamique/projects/sleep/data/cache/SC4142_nightE0.npz
SC4151,E0,train,1944,1730,/home/shamique/projects/sleep/data/cache/SC4151_nightE0.npz
SC4152,E0,test,2859,2439,/home/shamique/projects/sleep/data/cache/SC4152_nightE0.npz
SC4161,E0,val,2621,2000,/home/shamique/projects/sleep/data/cache/SC4161_nightE0.npz
SC4162,E0,train,517,484,/home/shamique/projects/sleep/data/cache/SC4162_nightE0.npz
SC4171,E0,test,2741,2252,/home/shamique/projects/sleep/data/cache/SC4171_nightE0.npz
SC4172,E0,train,41,41,/home/shamique/projects/sleep/data/cache/SC4172_nightE0.npz
SC4181,E0,train,1537,1516,/home/shamique/projects/sleep/data/cache/SC4181_nightE0.npz
SC4182,E0,train,2842,1331,/home/shamique/projects/sleep/data/cache/SC4182_nightE0.npz
SC4191,E0,train,2774,1001,/home/shamique/projects/sleep/data/cache/SC4191_nightE0.npz
SC4192,E0,train,107,84,/home/shamique/projects/sleep/data/cache/SC4192_nightE0.npz
SC4201,E0,test,2803,2688,/home/shamique/projects/sleep/data/cache/SC4201_nightE0.npz
SC4202,E0,val,2670,2578,/home/shamique/projects/sleep/data/cache/SC4202_nightE0.npz
SC4211,E0,train,2805,2680,/home/shamique/projects/sleep/data/cache/SC4211_nightE0.npz
SC4212,E0,test,2694,2611,/home/shamique/projects/sleep/data/cache/SC4212_nightE0.npz
SC4221,E0,train,923,915,/home/shamique/projects/sleep/data/cache/SC4221_nightE0.npz
SC4222,E0,test,2760,2699,/home/shamique/projects/sleep/data/cache/SC4222_nightE0.npz
SC4231,E0,val,2743,2435,/home/shamique/projects/sleep/data/cache/SC4231_nightE0.npz
SC4232,E0,train,331,265,/home/shamique/projects/sleep/data/cache/SC4232_nightE0.npz
SC4241,E0,train,2700,1954,/home/shamique/projects/sleep/data/cache/SC4241_nightE0.npz
SC4242,E0,train,2710,2149,/home/shamique/projects/sleep/data/cache/SC4242_nightE0.npz
SC4251,E0,train,2760,2320,/home/shamique/projects/sleep/data/cache/SC4251_nightE0.npz
SC4252,E0,train,2665,2011,/home/shamique/projects/sleep/data/cache/SC4252_nightE0.npz
SC4301,E0,train,717,622,/home/shamique/projects/sleep/data/cache/SC4301_nightE0.npz
SC4302,E0,train,2808,2147,/home/shamique/projects/sleep/data/cache/SC4302_nightE0.npz
SC4311,E0,val,2670,2346,/home/shamique/projects/sleep/data/cache/SC4311_nightE0.npz
