subject_id,split
SC4001,test
SC4002,train
SC4011,train
SC4012,train
SC4021,test
SC4022,train
SC4031,train
SC4032,train
SC4041,train
SC4042,test
SC4051,test
SC4052,train
SC4061,val
SC4062,train
SC4071,train
SC4072,val
SC4081,train
SC4082,train
SC4091,val
SC4092,train
SC4101,train
SC4102,train
SC4111,val
SC4112,train
SC4121,train
SC4122,train
SC4131,val
SC4141,train
SC4142,train
SC4151,train
SC4152,test
SC4161,val
SC4162,train
SC4171,test
SC4172,train
SC4181,train
SC4182,train
SC4191,train
SC4192,train
SC4201,test
SC4202,val
SC4211,train
SC4212,test
SC4221,train
SC4222,test
SC4231,val
SC4232,train
SC4241,train
SC4242,train
SC4251,train
SC4252,train
SC4301,train
SC4302,train
SC4311,val
SC4312,train
SC4321,val
SC4322,train
SC4401,train
SC4402,train
SC4411,train
SC4412,train
SC4421,train
SC4422,train
SC4431,train
SC4432,train
SC4441,train
SC4442,train
SC4501,train
SC4502,train
SC4511,test
SC4512,val
SC4522,train
SC4531,val
SC4532,test
SC4601,train
SC4602,train
SC4611,test
SC4612,test
SC4621,train
SC4622,train
SC4631,val
SC4632,train
SC4641,train
SC4642,test
SC4651,train
SC4652,train
SC4661,train
SC4662,train
SC4701,val
SC4702,train
SC4711,val
SC4712,train
SC4721,train
SC4722,train
SC4731,train
SC4732,train
SC4741,test
SC4742,train
SC4751,train
SC4762,train
