Stage,Metric,Frozen,LoRA CNN+Head,Full Fine-Tuning
Wake,f1,0.9640 ± 0.0200,0.9465 ± 0.0235,0.9659 ± 0.0135
Wake,precision,0.9682 ± 0.0329,0.9904 ± 0.0131,0.9945 ± 0.0043
Wake,recall,0.9609 ± 0.0241,0.9073 ± 0.0410,0.9393 ± 0.0256
N1,f1,0.3449 ± 0.0815,0.3582 ± 0.0418,0.4504 ± 0.0598
N1,precision,0.3611 ± 0.0811,0.2507 ± 0.0411,0.3354 ± 0.0632
N1,recall,0.3460 ± 0.1047,0.6497 ± 0.0737,0.7099 ± 0.0615
N2,f1,0.7526 ± 0.0554,0.7200 ± 0.0429,0.7725 ± 0.0383
N2,precision,0.7794 ± 0.0708,0.8625 ± 0.0439,0.8796 ± 0.0408
N2,recall,0.7302 ± 0.0599,0.6194 ± 0.0505,0.6913 ± 0.0543
N3,f1,0.6286 ± 0.1142,0.6635 ± 0.1110,0.6832 ± 0.1119
N3,precision,0.4889 ± 0.1282,0.5492 ± 0.1380,0.5688 ± 0.1359
N3,recall,0.9198 ± 0.0475,0.8739 ± 0.0771,0.8886 ± 0.0782
REM,f1,0.6722 ± 0.1567,0.6798 ± 0.1126,0.7788 ± 0.0719
REM,precision,0.7452 ± 0.0991,0.6412 ± 0.0646,0.7745 ± 0.0558
REM,recall,0.6375 ± 0.1811,0.7460 ± 0.1715,0.7943 ± 0.1124
