fold,class,count,percentage,n_test_subjects
1,Wake,17875,68.82,10
1,N1,1364,5.25,10
1,N2,4406,16.96,10
1,N3,910,3.5,10
1,REM,1420,5.47,10
2,Wake,13260,68.69,10
2,N1,875,4.53,10
2,N2,3163,16.38,10
2,N3,893,4.63,10
2,REM,1114,5.77,10
3,Wake,17067,67.51,10
3,N1,1331,5.27,10
3,N2,4351,17.21,10
3,N3,452,1.79,10
3,REM,2079,8.22,10
4,Wake,14644,67.2,10
4,N1,843,3.87,10
4,N2,3946,18.11,10
4,N3,704,3.23,10
4,REM,1654,7.59,10
5,Wake,19239,70.46,10
5,N1,1045,3.83,10
5,N2,4471,16.37,10
5,N3,1001,3.67,10
5,REM,1550,5.68,10
6,Wake,17760,71.83,10
6,N1,582,2.35,10
6,N2,3834,15.51,10
6,N3,1113,4.5,10
6,REM,1436,5.81,10
7,Wake,12583,74.62,10
7,N1,604,3.58,10
7,N2,1864,11.05,10
7,N3,738,4.38,10
7,REM,1073,6.36,10
8,Wake,16248,67.39,10
8,N1,1413,5.86,10
8,N2,4405,18.27,10
8,N3,424,1.76,10
8,REM,1622,6.73,10
9,Wake,15938,72.42,10
9,N1,1361,6.18,10
9,N2,2958,13.44,10
9,N3,604,2.74,10
9,REM,1147,5.21,10
10,Wake,16639,66.94,10
10,N1,1162,4.68,10
10,N2,4163,16.75,10
10,N3,1104,4.44,10
10,REM,1787,7.19,10
