fold,stage,precision,recall,f1,support
1,Wake,1.0,0.9618473895582329,0.9805527123848515,3984
2,Wake,1.0,0.9360341151385928,0.9669603524229075,3752
3,Wake,1.0,0.9889129259058951,0.994425560842964,3698
4,Wake,1.0,0.9834801762114538,0.991671293725708,3632
1,N1,1.0,0.4482758620689655,0.6190476190476191,116
2,N1,1.0,0.3983050847457627,0.5696969696969697,118
3,N1,1.0,0.6330275229357798,0.7752808988764045,218
4,N1,1.0,0.6195652173913043,0.7651006711409396,184
1,N2,1.0,0.736,0.847926267281106,500
2,N2,1.0,0.9410187667560321,0.9696132596685083,746
3,N2,1.0,0.8612099644128114,0.9254302103250478,1124
4,N2,1.0,0.8257575757575758,0.9045643153526971,1320
1,N3,1.0,0.875,0.9333333333333333,440
2,N3,1.0,0.9175084175084175,0.9569798068481123,594
3,N3,1.0,0.9571428571428572,0.9781021897810219,210
4,N3,1.0,0.9322916666666666,0.9649595687331537,192
1,REM,1.0,0.972,0.9858012170385395,250
2,REM,1.0,0.8860465116279069,0.9395807644882861,430
3,REM,1.0,0.9529411764705882,0.9759036144578314,340
4,REM,1.0,0.9318181818181818,0.9647058823529412,352
