fold,n_test_subjects,test_subjects,accuracy,kappa,macro_f1,weighted_f1,mgm,n_unique_epochs,protocol,Wake_f1,N1_f1,N2_f1,N3_f1,REM_f1
1,10,SC4031;SC4032;SC4321;SC4322;SC4411;SC4412;SC4611;SC4612;SC4651;SC4652,0.8544278842362589,0.7261895968812684,0.6805946328071689,0.8667273052409862,0.7443734443380042,25362,causal_unique_epoch,0.9753876372727002,0.4281767955801105,0.6417417417417417,0.5891741845940319,0.7684928048472608
2,9,SC4061;SC4062;SC4131;SC4221;SC4222;SC4501;SC4502;SC4731;SC4732,0.8963727797988444,0.7938040793396783,0.7971095265779299,0.9057516038358571,0.8310637644385225,18692,causal_unique_epoch,0.9676332288401254,0.5118483412322274,0.799853907962016,0.8583473861720068,0.847864768683274
3,10,SC4051;SC4052;SC4071;SC4072;SC4211;SC4212;SC4441;SC4442;SC4631;SC4632,0.9103908858770379,0.8179297308478684,0.7824827935953678,0.9193935449952646,0.8573603646071173,25455,causal_unique_epoch,0.9817459190915543,0.5018133860863832,0.8059861036878675,0.745804338927548,0.8770642201834863
4,7,SC4112;SC4161;SC4201;SC4202;SC4511;SC4512;SC4751,0.8981880931837791,0.785093529705058,0.7318882297782136,0.9144181739399494,0.8243182684061328,17385,causal_unique_epoch,0.9687691365584813,0.4056906837999082,0.849025069637883,0.6069868995633187,0.8289693593314763
5,9,SC4121;SC4122;SC4171;SC4311;SC4312;SC4431;SC4432;SC4741;SC4742,0.8963338076504562,0.7931652541544076,0.7669635352678694,0.9088763751485778,0.8180397233128058,23894,causal_unique_epoch,0.9698467924067631,0.4279446506918663,0.8005502063273727,0.7941912869303956,0.8422847399829497
6,9,SC4021;SC4022;SC4041;SC4042;SC4241;SC4242;SC4701;SC4702;SC4762,0.8518069772299979,0.7279139382487836,0.6900502294319357,0.8688794773600524,0.7910313493352353,23935,causal_unique_epoch,0.9597389168928525,0.4441711756025578,0.740308569946843,0.5594684385382059,0.7465640461792193
7,9,SC4091;SC4092;SC4151;SC4152;SC4231;SC4621;SC4622;SC4661;SC4662,0.8753224043715847,0.7803408333709086,0.7573476168932992,0.8853777789157957,0.8250441316682509,22875,causal_unique_epoch,0.967856893298861,0.5419749936208217,0.7793627516331156,0.6588337684943429,0.8387096774193549
8,8,SC4001;SC4002;SC4101;SC4102;SC4401;SC4402;SC4601;SC4602,0.872928965911255,0.7640582412340059,0.7487025266754734,0.8895977475663793,0.8092872024326101,21004,causal_unique_epoch,0.9573803819066289,0.3934201507882111,0.771217076949561,0.7687619047619048,0.8527331189710611
9,7,SC4011;SC4012;SC4191;SC4421;SC4422;SC4641;SC4642,0.9212269083304288,0.843871015814306,0.8099065399730646,0.9277714131249762,0.8597026861575364,17214,causal_unique_epoch,0.9760884470346246,0.5770042194092827,0.877466251298027,0.8031496062992126,0.8158241758241759
10,6,SC4141;SC4251;SC4252;SC4522;SC4711;SC4712,0.7780022446689113,0.419029533841656,0.5169545383139419,0.7403469243363592,0.4079165865508871,13365,causal_unique_epoch,0.896848548610779,0.3241150442477876,0.28407350689127103,0.6116504854368932,0.46808510638297873
